napa | ওষুধ | নাপা (প্যারাসিটামল) | জ্বর ও ব্যথায় কার্যকর | দাম ১.২০ টাকা, ভরা পেটে সেব্য।
apple | ইংরেজি | আপেল | একটি পুষ্টিকর ফল | He eats an apple.
বই | বাংলা | Book | গ্রন্থ বা পুস্তক | আমি বই পড়ি।
good morning | অভিবাদন | শুভ সকাল | সকালে ব্যবহৃত হয় | Good morning, friend!
losectil | ওষুধ | লোসেকটিল (Omeprazole) | গ্যাস্ট্রিক ও বুক জ্বালাপোড়ায় | খাবারের ২০ মিনিট আগে সেব্য। ৫-৭ টাকা পিস।
water | ইংরেজি | পানি | জীবন ধারণের অপরিহার্য উপাদান | Drink pure water.
স্কুল | বাংলা | School | শিক্ষা প্রতিষ্ঠান | আমি প্রতিদিন স্কুলে যাই।
thank you | অভিবাদন | ধন্যবাদ | কৃতজ্ঞতা প্রকাশে ব্যবহৃত | Thank you for your help.
fexo | ওষুধ | ফেক্সো (Fexofenadine) | অ্যালার্জি ও সর্দি কাশিতে | দিনে ১ বার সেব্য। ৮-১০ টাকা পিস।
sky | ইংরেজি | আকাশ | পৃথিবীর উপরের নীল আবরণ | The sky is clear today.
মা | বাংলা | Mother | জন্মদাত্রী বা জননী | আমার মা খুব দয়ালু।
how are you | অভিবাদন | কেমন আছো? | কুশল বিনিময়ে ব্যবহৃত | Hello, how are you?
ace | ওষুধ | এস (Paracetamol) | জ্বর ও ব্যথানাশক | ভরা পেটে ১-২টি ট্যাবলেট সেব্য।
book | ইংরেজি | বই | জ্ঞান অর্জনের মাধ্যম | Read books to gain knowledge.
বন্ধু | বাংলা | Friend | সুহৃদ বা মিতা | সে আমার সবচেয়ে ভালো বন্ধু।
sorry | অভিবাদন | দুঃখিত | ক্ষমা প্রার্থনায় ব্যবহৃত | I am sorry for my mistake.
sergel | ওষুধ | সার্জেল (Esomeprazole) | তীব্র গ্যাস্ট্রিক ও আলসারে | খাওয়ার আগে সেব্য। ৭-৮ টাকা পিস।
sun | ইংরেজি | সূর্য | সৌরজগতের প্রধান শক্তি | The sun rises in the east.
ভালোবাসা | বাংলা | Love | গভীর মায়া বা স্নেহ | মা শিশুকে ভালোবাসেন।
congratulations | অভিবাদন | অভিনন্দন | সাফল্যে প্রশংসা করতে | Congratulations on your success!
napa extend | ওষুধ | নাপা এক্সটেন্ড | দীর্ঘমেয়াদী ব্যথানাশক | ৮ ঘণ্টা পর পর সেব্য। ২ টাকা পিস।
moon | ইংরেজি | চাঁদ | পৃথিবীর একমাত্র উপগ্রহ | The moon shines at night.
আকাশ | বাংলা | Sky | গগন বা অম্বর | নীল আকাশে সাদা মেঘ।
excuse me | অভিবাদন | এই যে শুনুন | দৃষ্টি আকর্ষণে ব্যবহৃত | Excuse me, can you help me?
entacyd | ওষুধ | এন্টাসিড | এসিডিটি ও গ্যাস কমাতে | চিবিয়ে খাওয়ার ট্যাবলেট। ২ টাকা পিস।
time | ইংরেজি | সময় | যা কারও জন্য অপেক্ষা করে না | Time is very precious.
বাগান | বাংলা | Garden | পুষ্পকানন বা উদ্যান | আমার একটি ফুলের বাগান আছে।
nice to meet you | অভিবাদন | আপনার সাথে দেখা করে ভালো লাগল | প্রথম সাক্ষাতে ব্যবহৃত | Hi, nice to meet you!
alatrol | ওষুধ | অ্যালাট্রল (Cetirizine) | চুলকানি ও হাঁচি-সর্দিতে | রাতে ১টি সেব্য। ৩-৪ টাকা পিস।
flower | ইংরেজি | ফুল | পবিত্রতার প্রতীক | Rose is a beautiful flower.
বাবা | বাংলা | Father | জন্মদাতা বা আব্বা | বাবা পরিবারের মাথার ছায়া।
good night | অভিবাদন | শুভ রাত্রি | বিদায় বেলা বা ঘুমানোর আগে | Good night, sweet dreams.
seclo | ওষুধ | সেকলো (Omeprazole) | গ্যাস্ট্রিক ও আলসার প্রতিরোধে | সকালে ও রাতে খাওয়ার আগে সেব্য।
food | ইংরেজি | খাবার | বাঁচার জন্য যা খাওয়া হয় | We should eat healthy food.
আলো | বাংলা | Light | দীপ্তি বা প্রভা | সূর্য আমাদের আলো দেয়।
welcome | অভিবাদন | স্বাগতম | কাউকে বরণ করে নিতে | Welcome to our home.
fenadin | ওষুধ | ফেনাডিন | দীর্ঘস্থায়ী অ্যালার্জিতে | প্রতিদিন ১টি সেব্য। ৮ টাকা পিস।
tree | ইংরেজি | গাছ | অক্সিজেন প্রদানকারী বন্ধু | Trees give us oxygen.
বাতাস | বাংলা | Wind | বায়ু বা অনিল | দক্ষিণ দিক থেকে বাতাস বইছে।
please | অভিবাদন | দয়া করে | অনুরোধ করতে ব্যবহৃত | Please, open the door.
maxpro | ওষুধ | ম্যাক্সপ্রো (Esomeprazole) | গ্যাস্ট্রিক ও বুক জ্বালাপোড়ায় | সকালে ও রাতে খালি পেটে।
honesty | ইংরেজি | সততা | মহৎ একটি গুণ | Honesty is the best policy.
সততা | বাংলা | Honesty | ন্যায়পরায়ণতা | সে তার সততার জন্য পরিচিত।
