napa | ওষুধ | নাপা (প্যারাসিটামল) | জ্বর ও ব্যথানাশক | ভরা পেটে ১-২টি ট্যাবলেট। ১.২০ টাকা পিস।
ace | ওষুধ | এস (প্যারাসিটামল) | জ্বর ও শরীরের ব্যথায় | প্রাপ্তবয়স্কদের জন্য ১-২টি ট্যাবলেট।
sergel | ওষুধ | সার্জেল (Esomeprazole) | তীব্র গ্যাস্ট্রিক ও আলসারে | খাবারের ২০-৩০ মিনিট আগে। ৭ টাকা পিস।
seclo | ওষুধ | সেকলো (Omeprazole) | বুক জ্বালাপোড়া ও গ্যাস্ট্রিক | সকালে ও রাতে খালি পেটে সেব্য।
maxpro | ওষুধ | ম্যাক্সপ্রো (Esomeprazole) | এসিডিটি ও আলসার নিয়ন্ত্রণে | দৈনিক ১-২ বার খালি পেটে।
fexo | ওষুধ | ফেক্সো (Fexofenadine) | অ্যালার্জি, হাঁচি ও সর্দিতে | প্রতিদিন ১টি নির্দিষ্ট সময়ে।
alatrol | ওষুধ | অ্যালাট্রল (Cetirizine) | চুলকানি ও অ্যালার্জি রোধে | রাতে ১টি ট্যাবলেট সেব্য।
monas | ওষুধ | মোনাস (Montelukast) | হাঁপানি ও শ্বাসকষ্ট কমাতে | রাতে ১টি ট্যাবলেট নিয়মিত।
zithrin | ওষুধ | জিথ্রিন (Azithromycin) | ব্যাকটেরিয়াল ইনফেকশন ও অ্যান্টিবায়োটিক | ৩-৫ দিন নিয়মিত সেব্য।
fenadin | ওষুধ | ফেনাডিন | দীর্ঘস্থায়ী অ্যালার্জি ও সর্দিতে | দিনে ১ বার সেব্য।
entacyd | ওষুধ | এন্টাসিড | বুক জ্বালা ও এসিডিটি কমাতে | চিবিয়ে খাওয়ার ট্যাবলেট।
napa extend | ওষুধ | নাপা এক্সটেন্ড | দীর্ঘমেয়াদী শরীরের ব্যথায় | ৮ ঘণ্টা পর পর ১টি ট্যাবলেট।
losectil | ওষুধ | লোসেকটিল | পাকস্থলীর আলসার ও গ্যাস্ট্রিকে | সকালে ও রাতে খাওয়ার আগে।
pantix | ওষুধ | প্যানটিক্স (Pantoprazole) | দীর্ঘস্থায়ী গ্যাস্ট্রিকের সমস্যায় | খাওয়ার ৩০ মিনিট আগে সেব্য।
torenta | ওষুধ | টোরেন্টা | স্নায়বিক দুর্বলতা ও টেনশনে | রাতে ১টি ট্যাবলেট।
deslor | ওষুধ | ডেসলর | নাক দিয়ে পানি পড়া ও হাঁচিতে | প্রতিদিন রাতে ১টি ট্যাবলেট।
ebastin | ওষুধ | এবাস্টিন | সিজনাল অ্যালার্জি ও চুলকানিতে | প্রতিদিন রাতে ১টি।
bizoran | ওষুধ | বিজোরান | উচ্চ রক্তচাপ নিয়ন্ত্রণে | ডাক্তারের পরামর্শে নিয়মিত।
adryl | ওষুধ | অ্যাড্রিল | শুকনো কাশি ও ঘুমের জন্য | সিরাপ হিসেবে ২ চামচ রাতে।
neobion | ওষুধ | নিওবিয়ন | ভিটামিন বি১, বি৬, বি১২ এর অভাব | দৈনিক ১-২টি ট্যাবলেট।
clopid | ওষুধ | ক্লোপিড | রক্ত জমাট বাঁধা রোধ করতে | চিকিৎসকের পরামর্শে সেব্য।
amodis | ওষুধ | অ্যামোডিস | আমাশয় ও পেটের সমস্যায় | নির্দিষ্ট মাত্রায় খাবারের পর।
doxiva | ওষুধ | ডক্সিভা | হাঁপানি ও কাফ কাশিতে | প্রতিদিন ১টি ট্যাবলেট।
